"maison","Noun","Cette grande (maison) blanche appartient à mon grand-père.|Je rentre à la (maison) après une longue journée de travail."
"voiture","Noun","Il a garé sa nouvelle (voiture) juste devant le garage.|Ma (voiture) est en panne, je dois prendre le bus."
"travail","Noun","Le lundi matin, je commence mon (travail) à huit heures.|Il cherche un nouveau (travail) dans le secteur informatique."
"chien","Noun","Le (chien) des voisins aboie chaque fois que quelqu'un passe.|Nous sortons promener le (chien) dans le parc tous les soirs."
"livre","Noun","J'ai lu un (livre) passionnant sur l'histoire de France.|N'oubliez pas d'apporter votre (livre) de grammaire en classe."
"école","Noun","Les enfants vont à l' (école) à pied tous les matins.|Mon (école) se trouve juste à côté de la bibliothèque."
"ami","Noun","Je vais au cinéma ce soir avec un (ami) d'enfance.|C'est mon meilleur (ami), nous nous connaissons depuis dix ans."
"eau","Noun","Il fait très chaud, je vais boire un grand verre d' (eau).|Le chat a renversé son bol d' (eau) sur le tapis."
"temps","Noun","Le (temps) passe très vite quand on s'amuse.|Quel (temps) fait-il aujourd'hui ? Est-ce qu'il pleut ?"
"ville","Noun","Paris est la plus grande (ville) de France.|J'aime me promener dans le centre de la (ville) le samedi."
"enfant","Noun","L' (enfant) joue tranquillement avec ses jouets dans la chambre.|Chaque (enfant) doit porter un gilet de sécurité pour la sortie."
"argent","Noun","Il a dépensé tout son (argent) pour acheter ce téléphone.|Avez-vous assez d' (argent) pour payer le taxi ?"
"monde","Noun","Il y a beaucoup de (monde) dans le métro à cette heure-ci.|Le (monde) entier attend les résultats de cette élection."
"jour","Noun","C'est le plus beau (jour) de ma vie !|Je travaille cinq (jours) par semaine, du lundi au vendredi."
"main","Noun","Elle tient son sac de la (main) droite.|Lavez-vous les (mains) avant de passer à table."
"femme","Noun","Cette (femme) est une scientifique très reconnue.|Ma (femme) travaille comme avocate à la cour d'appel."
"homme","Noun","Cet (homme) porte un chapeau noir et un long manteau.|Un (homme) est venu livrer votre colis ce matin."
"table","Noun","Le dîner est servi, mettez-vous à (table) !|Il a posé ses clés sur la petite (table) de l'entrée."
"nuit","Noun","Il fait noir car la (nuit) tombe très tôt en hiver.|J'ai passé une mauvaise (nuit) à cause du bruit dans la rue."
"soleil","Noun","Le (soleil) brille et le ciel est complètement bleu.|Il faut mettre de la crème quand le (soleil) est très fort."
"être","Verb","Je (suis) très heureux de vous rencontrer enfin.|Ils (étaient) fatigués après avoir marché toute la journée."
"avoir","Verb","Elle (a) deux frères et une sœur cadette.|Nous (avons) eu beaucoup de chance de trouver une place."
"faire","Verb","Qu'est-ce que tu (fais) de beau ce week-end ?|Il (fait) ses devoirs dans sa chambre depuis une heure."
"dire","Verb","Je vous (dis) la vérité, je n'ai rien vu.|Qu'est-ce qu'ils (disent) à propos de ce nouveau projet ?"
"aller","Verb","Je (vais) au supermarché pour acheter du lait.|Demain, nous (irons) voir un film au cinéma."
"voir","Verb","Est-ce que tu (vois) le petit oiseau sur la branche ?|Nous (avons vu) ce documentaire la semaine dernière."
"savoir","Verb","Je ne (sais) pas où j'ai mis mes lunettes.|Elle (savait) déjà que la fête était annulée."
"pouvoir","Verb","Est-ce que je (peux) ouvrir la fenêtre, s'il vous plaît ?|Ils n'ont pas (pu) venir à cause de la neige."
"vouloir","Verb","Je (veux) apprendre à parler couramment français.|Si vous le (voulez), nous pouvons partir maintenant."
"venir","Verb","Ma cousine (vient) nous rendre visite ce soir.|D'où (venez)-vous ? Je viens du Canada."
"prendre","Verb","Je (prends) le bus numéro 42 pour aller au bureau.|Il a (pris) son parapluie car le ciel est gris."
"arriver","Verb","Le train (arrive) en gare avec dix minutes de retard.|Nous sommes (arrivés) à destination après un long voyage."
"croire","Verb","Je (crois) qu'il va pleuvoir cet après-midi.|Elle ne me (croit) jamais quand je raconte cette histoire."
"mettre","Verb","Où as-tu (mis) les clés de la voiture ?|Je (mets) toujours mon manteau quand il fait froid."
"parler","Verb","Elle (parle) trois langues : le français, l'anglais et l'espagnol.|Nous avons (parlé) de toi hier soir."
"donner","Verb","Il me (donne) toujours de bons conseils.|Pouvez-vous me (donner) le sel, s'il vous plaît ?"
"comprendre","Verb","Je ne (comprends) pas cette règle de grammaire.|Est-ce qu'ils ont (compris) les instructions du professeur ?"
"partir","Verb","Le bus (part) exactement à huit heures.|Ils sont (partis) en vacances en Italie."
"devoir","Verb","Tu (dois) finir ton assiette avant d'avoir le dessert.|Nous (devons) partir immédiatement pour ne pas être en retard."
"manger","Verb","Le midi, je (mange) souvent une salade rapide.|Qu'est-ce que vous (mangez) ce soir au dîner ?"
"grand","Adjective","Mon frère est très (grand), il mesure plus de deux mètres.|C'est une (grande) ville avec beaucoup de gratte-ciel."
"petit","Adjective","Nous habitons dans un (petit) appartement au centre-ville.|Le chat est encore tout (petit) et très mignon."
"bon","Adjective","Ce gâteau au chocolat est vraiment (bon).|C'est une (bonne) idée d'aller à la plage demain."
"mauvais","Adjective","Le film était (mauvais), nous sommes sortis avant la fin.|Il a fait un (mauvais) choix en vendant sa voiture."
"beau","Adjective","Quel (beau) paysage nous avons depuis cette fenêtre !|Elle porte une (belle) robe rouge pour la soirée."
"nouveau","Adjective","J'ai acheté un (nouveau) téléphone hier matin.|Ils ont emménagé dans leur (nouvelle) maison la semaine dernière."
"vieux","Adjective","Ce (vieux) château date du douzième siècle.|Ma grand-mère a une (vieille) horloge qui fonctionne encore."
"jeune","Adjective","Le (jeune) homme qui travaille ici est très poli.|Quand j'étais (jeune), je faisais beaucoup de sport."
"chaud","Adjective","Attention, le café est encore très (chaud).|Il fait une chaleur (chaude) et humide aujourd'hui."
"froid","Adjective","En hiver, l'eau du lac est extrêmement (froide).|Je préfère boire mon thé (froid) quand il fait beau."
"facile","Adjective","Cet exercice de mathématiques est vraiment (facile).|Il n'est pas (facile) d'apprendre une langue étrangère seul."
"difficile","Adjective","La situation économique actuelle est très (difficile).|C'est un examen (difficile) qui demande beaucoup de révisions."
"cher","Adjective","Ce restaurant est trop (cher) pour mon budget.|L'essence est devenue très (chère) ces derniers mois."
"pauvre","Adjective","L'homme (pauvre) n'avait pas de quoi s'acheter à manger.|C'est une (pauvre) bête qui a été abandonnée dans la rue."
"riche","Adjective","Ce quartier est habité par des familles très (riches).|Le chocolat noir est (riche) en magnésium."
"heureux","Adjective","Ils sont très (heureux) depuis la naissance de leur fils.|Je suis (heureuse) de vous voir en si bonne forme."
"triste","Adjective","C'est une histoire (triste) qui finit mal.|Il a l'air (triste) depuis qu'il a perdu son chien."
"propre","Adjective","N'oublie pas de mettre une chemise (propre) pour l'entretien.|La cuisine est parfaitement (propre) après le ménage."
"sale","Adjective","Tes chaussures sont toutes (sales) à cause de la boue.|Il a jeté ses vêtements (sales) dans le panier."
"rapide","Adjective","Le TGV est un train très (rapide) qui relie les villes.|Elle a fait une lecture (rapide) du journal ce matin."
"bien","Adverb","Il parle très (bien) le français après deux ans à Lyon.|J'espère que vous avez (bien) dormi cette nuit."
"mal","Adverb","Je me sens (mal) depuis que j'ai mangé ce poisson.|Il a (mal) compris la consigne et a fait une erreur."
"très","Adverb","Ce café est (très) chaud, fais attention à ne pas te brûler.|Il est (très) tard, nous devrions rentrer maintenant."
"trop","Adverb","Tu travailles (trop), tu devrais prendre quelques jours de repos.|Il y a (trop) de bruit ici, je ne m'entends plus parler."
"beaucoup","Adverb","Merci (beaucoup) pour votre aide précieuse ce matin.|J'aime (beaucoup) ce restaurant, la nourriture est excellente."
"peu","Adverb","Il parle (peu), mais quand il s'exprime, c'est important.|J'ai (peu) mangé à midi car je n'avais pas très faim."
"souvent","Adverb","Nous allons (souvent) au cinéma le dimanche après-midi.|Elle oublie (souvent) ses clés sur la table de l'entrée."
"toujours","Adverb","Il est (toujours) à l'heure, vous pouvez compter sur lui.|J'ai (toujours) habité dans ce petit village de Provence."
"jamais","Adverb","Je n'ai (jamais) goûté aux escargots de ma vie.|Il ne pleut presque (jamais) dans cette région du monde."
"maintenant","Adverb","Il faut partir (maintenant) si nous voulons arriver à l'heure.|(Maintenant) que tu es là, nous pouvons commencer la réunion."
"hier","Adverb","(Hier), il a plu toute la journée sans s'arrêter.|Je suis allé voir mes parents (hier) pour leur anniversaire."
"demain","Adverb","(Demain), nous irons faire une randonnée à la montagne.|Je te rendrai ton livre (demain) quand on se verra."
"ici","Adverb","Venez (ici) tout de suite, j'ai quelque chose à vous montrer.|Il fait bon vivre (ici), c'est un quartier très calme."
"là-bas","Adverb","Regarde l'oiseau (là-bas), tout en haut du grand chêne.|Il est allé travailler (là-bas) pendant plus de trois ans."
"vite","Adverb","Dépêchez-vous, le train va partir très (vite) !|Elle court (vite) car elle est en retard pour son cours."
"lentement","Adverb","Il marche (lentement) à cause de sa blessure à la jambe.|Parlez plus (lentement), s'il vous plaît, je ne comprends pas."
"déjà","Adverb","As-tu (déjà) fini tes devoirs ? Tu es très rapide !|Je suis (déjà) allé à Londres trois fois l'année dernière."
"enfin","Adverb","(Enfin), nous sommes arrivés au sommet après trois heures.|Le bus est (enfin) là, je commençais à perdre patience."
"peut-être","Adverb","(Peut-être) qu'il viendra nous voir ce soir, il n'est pas sûr.|Il a (peut-être) oublié notre rendez-vous au café."
"heureusement","Adverb","(Heureusement), j'avais pris mon parapluie car il a neigé.|Elle a (heureusement) retrouvé son portefeuille dans le bus."
